state,county,diff
Mississippi,Coahoma ,-2197
Illinois,Knox ,-2197
North Carolina,Hertford ,-2186
Illinois,Whiteside ,-2151
Maine,Oxford ,-2131
Washington,Cowlitz ,-2115
New York,Rensselaer ,-2106
Minnesota,Clay ,-2087
Mississippi,Sunflower ,-2076
Wisconsin,Columbia ,-2063
Minnesota,Mower ,-2048
Washington,San Juan ,-2048
Washington,Skagit ,-2045
Arizona,Santa Cruz ,-2031
Wisconsin,Iowa ,-2013
Ohio,Portage ,-2008
South Carolina,Marion ,-2007
Minnesota,Washington ,-1975
New Hampshire,Sullivan ,-1959
Maine,Penobscot ,-1929
Colorado,La Plata ,-1928
Michigan,Eaton ,-1927
North Dakota,Cass ,-1917
Virginia,Danville ,-1916
Nebraska,Lancaster ,-1883
Ohio,Ashtabula ,-1862
Minnesota,Blue Earth ,-1861
North Carolina,Warren ,-1819
Alabama,Lowndes ,-1811
South Carolina,Fairfield ,-1781
Alabama,Greene ,-1754
Alabama,Sumter ,-1736
Washington,Grays Harbor ,-1723
Mississippi,Noxubee ,-1715
California,Lake ,-1705
Virginia,Suffolk ,-1696
California,Merced ,-1677
Wisconsin,Trempealeau ,-1675
Georgia,Rockdale ,-1665
Idaho,Blaine ,-1661
Colorado,Routt ,-1649
Vermont,Orleans ,-1626
North Carolina,Northampton ,-1598
Louisiana,St. John the Baptist ,-1596
Vermont,Caledonia ,-1574
Maine,Franklin ,-1569
Illinois,Fulton ,-1569
New York,Franklin ,-1563
Wisconsin,Ashland ,-1546
Michigan,Berrien ,-1546
Ohio,Wood ,-1544
Wisconsin,Dunn ,-1542
Minnesota,Rice ,-1530
Indiana,Madison ,-1516
Maine,Sagadahoc ,-1505
Oregon,Clatsop ,-1492
North Carolina,Chatham ,-1478
Connecticut,Litchfield ,-1475
California,San Luis Obispo ,-1468
New York,Orange ,-1465
Mississippi,Claiborne ,-1454
North Carolina,Bertie ,-1444
Wisconsin,Vernon ,-1441
New Hampshire,Coos ,-1434
North Carolina,Hoke ,-1432
Wisconsin,Door ,-1420
Colorado,Broomfield ,-1415
Mississippi,Marshall ,-1407
Mississippi,Jefferson ,-1400
Oregon,Hood River ,-1391
South Carolina,Lee ,-1383
Iowa,Muscatine ,-1382
Illinois,Sangamon ,-1370
Alabama,Perry ,-1363
Georgia,Hancock ,-1363
Maine,Aroostook ,-1351
Alabama,Wilcox ,-1347
Wyoming,Teton ,-1344
South Carolina,Marlboro ,-1333
Virginia,Fredericksburg ,-1331
Virginia,Falls Church ,-1327
Texas,Zavala ,-1325
Minnesota,Itasca ,-1309
Minnesota,Freeborn ,-1303
Alabama,Bullock ,-1300
South Dakota,Shannon ,-1294
Wisconsin,Bayfield ,-1280
Wisconsin,Manitowoc ,-1267
New Mexico,Grant ,-1252
Iowa,Lee ,-1249
Arkansas,Phillips ,-1210
Michigan,Van Buren ,-1204
Iowa,Winneshiek ,-1204
North Carolina,Pasquotank ,-1188
Illinois,Kendall ,-1180
Colorado,San Miguel ,-1174
Wisconsin,Chippewa ,-1142
Iowa,Jackson ,-1140
South Carolina,Hampton ,-1139
North Dakota,Rolette ,-1137
Michigan,Shiawassee ,-1132
Virginia,Harrisonburg ,-1123
Mississippi,Adams ,-1118
Louisiana,Caddo ,-1109
Colorado,Gunnison ,-1109
Oregon,Columbia ,-1102
Maine,Lincoln ,-1101
California,San Benito ,-1100
New York,Columbia ,-1098
Utah,Summit ,-1095
Texas,Duval ,-1093
North Carolina,Anson ,-1091
Massachusetts,Nantucket ,-1052
North Carolina,Scotland ,-1050
Wisconsin,Crawford ,-1046
New York,Essex ,-1044
Virginia,Brunswick ,-1019
South Carolina,Clarendon ,-1011
South Carolina,Allendale ,-1009
Mississippi,Tunica ,-1009
South Carolina,Bamberg ,-1008
Washington,Island ,-978
New York,Sullivan ,-973
Wisconsin,Oneida ,-972
Michigan,Monroe ,-972
Mississippi,Clay ,-972
